"InsurancePolicyNumber","CustomerLoyaltyPeriod","DateOfPolicyCoverage","InsurancePolicyState","Policy_CombinedSingleLimit","Policy_Deductible","PolicyAnnualPremium","UmbrellaLimit","InsuredRelationship","CustomerID"
112693,192,2002-03-22,"State2","100/300",842,1063.28,1578220,"own-child","Cust3572"
112695,132,2002-07-08,"State3","100/300",1820,781.85,0,"husband","Cust3574"
112696,20,1998-04-13,"State3","500/1000",1445,1246.6,0,"husband","Cust3575"
112697,142,1995-02-17,"State2","250/500",1953,1349.53,4843958,"wife","Cust3576"
112698,262,2006-07-20,"State3","250/300",681,1343.47,0,"other-relative","Cust3577"
112700,337,2002-08-14,"State3","250/500",2000,1437.87,0,"other-relative","Cust3579"
112701,189,1998-02-12,"State1","250/500",608,1054.51,4706028,"own-child","Cust3580"
112702,18,2002-07-19,"State2","100/300",2000,1046.01,0,"other-relative","Cust3581"
112703,92,1995-04-24,"State3","500/1000",2000,1101.66,1571662,"own-child","Cust3582"
112704,225,2008-03-07,"State1","100/300",1641,1290.93,0,"other-relative","Cust3583"
112705,341,2004-10-16,"State2","500/1000",1000,1524.28,0,"other-relative","Cust3584"
112706,131,2010-07-23,"State3","100/300",912,1096.21,6470707,"own-child","Cust3585"
112707,125,2005-05-20,"State2","250/500",500,1287.39,0,"unmarried","Cust3586"
112708,175,2006-09-21,"State3","250/500",647,1444.37,3530360,"other-relative","Cust3587"
112709,387,1993-09-02,"State3","250/500",880,1083.92,0,"wife","Cust3588"
112710,154,1991-01-05,"State3","250/500",529,1007.5,0,"wife","Cust3589"
112712,216,2006-10-17,"State3","250/500",1329,1381.41,0,"unmarried","Cust3591"
112714,210,2001-06-16,"State3","250/500",500,1465.12,7163063,"husband","Cust3593"
112715,334,1995-02-08,"State1","250/500",1000,1597.87,0,"not-in-family","Cust3594"
112716,257,1991-07-06,"State1","100/300",1366,961.36,0,"other-relative","Cust3595"
112717,232,2004-10-13,"State3","100/300",500,1436.51,601337,"wife","Cust3596"
112718,159,2006-05-20,"State1","100/300",2000,1257.54,7007643,"not-in-family","Cust3597"
112719,173,2009-02-25,"State2","100/300",1000,1396.58,0,"wife","Cust3598"
112720,409,2003-04-30,"State3","250/500",1874,1434.75,4580547,"unmarried","Cust3599"
112721,106,1997-05-18,"State2","250/500",1000,1185.62,0,"husband","Cust3600"
112723,126,1995-05-12,"State2","250/500",500,1129.84,0,"own-child","Cust3602"
112724,230,1995-06-25,"State3","100/300",788,1040.3,0,"wife","Cust3603"
112725,118,2009-03-21,"State2","250/500",500,1190.08,1666894,"own-child","Cust3604"
112726,167,2011-10-17,"State3","250/500",577,1364.06,0,"unmarried","Cust3605"
112727,189,2007-03-09,"State3","100/300",1503,1183.45,0,"other-relative","Cust3606"
112728,146,2010-05-17,"State2","100/300",2000,972.97,0,"wife","Cust3607"
112730,368,1993-09-03,"State1","250/500",1000,1050.23,0,"not-in-family","Cust3609"
112731,334,2009-05-26,"State2","250/500",500,1530.08,0,"husband","Cust3610"
112732,134,2000-03-20,"State2","250/500",1334,1586.25,2662516,"own-child","Cust3611"
112733,160,1994-09-28,"State2","500/1000",1072,1351.52,0,"husband","Cust3612"
112734,257,1993-04-10,"State1","100/300",500,1005.42,0,"wife","Cust3613"
112736,148,2009-05-06,"State1","100/300",1000,1209.29,2787093,"unmarried","Cust3615"
112737,229,1999-11-28,"State1","100/300",1000,922.35,7035164,"unmarried","Cust3616"
112741,47,1993-01-13,"State2","100/300",842,1130.83,0,"not-in-family","Cust3620"
112742,135,1993-07-20,"State3","100/300",957,1145.51,0,"own-child","Cust3621"
112743,164,2009-11-25,"State3","500/1000",1000,1198.92,3972620,"own-child","Cust3622"
112744,161,2006-02-20,"State3","250/500",1050,1075.53,300710,"wife","Cust3623"
112745,232,2013-05-01,"State2","250/1000",1986,1449.93,3944975,"other-relative","Cust3624"
112748,101,2009-02-01,"State3","250/500",2000,1129.54,0,"not-in-family","Cust3627"
112749,288,2004-05-31,"State2","250/500",1907,1222.44,0,"unmarried","Cust3628"
112750,147,1990-08-05,"State3","500/1000",654,1279.81,6794244,"own-child","Cust3629"
112753,190,2001-08-24,"State2","500/500",811,1364.1,0,"husband","Cust3632"
112754,15,1999-04-22,"State3","500/1000",500,1287.59,0,"other-relative","Cust3633"
112756,359,2006-03-16,"State3","100/300",1000,1166.96,0,"other-relative","Cust3635"
112758,170,1997-11-14,"State2","250/500",500,937.55,0,"wife","Cust3637"
112759,118,2001-03-05,"State1","500/1000",500,1657.14,6279497,"unmarried","Cust3638"
112760,151,2007-12-17,"State1","100/300",1483,1718.89,0,"wife","Cust3639"
112761,427,1999-01-19,"State3","250/500",971,1273.79,0,"other-relative","Cust3640"
112763,177,1995-05-29,"State3","100/300",513,920.74,0,"wife","Cust3642"
112764,165,1999-08-20,"State1","100/300",835,1384.51,6340632,"unmarried","Cust3643"
112765,297,2012-10-17,"State1","250/500",1000,1461.33,0,"husband","Cust3644"
112766,332,2006-11-04,"State3","100/300",914,1565.07,514173,"other-relative","Cust3645"
112767,348,2000-04-23,"State2","500/1000",2000,895.76,1285109,"unmarried","Cust3646"
112768,282,2000-07-22,"State3","250/500",914,1089.53,858185,"other-relative","Cust3647"
112769,109,2001-10-28,"State2","500/1000",500,889.08,0,"not-in-family","Cust3648"
112770,78,1999-10-12,"State1","250/500",678,1351.67,0,"not-in-family","Cust3649"
112772,394,2011-04-24,"State1","250/500",500,1246.64,0,"not-in-family","Cust3651"
112773,81,2010-07-29,"State2","100/300",2000,1243.45,4793918,"husband","Cust3652"
112775,314,2005-04-07,"State1","250/500",1000,1136.42,0,"not-in-family","Cust3654"
112777,180,1993-12-12,"State3","250/500",654,975.86,0,"wife","Cust3656"
112778,400,2008-05-22,"State1","250/500",1000,1168.47,0,"own-child","Cust3657"
112779,222,1997-06-07,"State3","100/300",655,1591.31,0,"husband","Cust3658"
112780,43,2012-11-08,"State3","100/300",2000,1265.64,0,"unmarried","Cust3659"
112781,340,2002-09-22,"State3","500/1000",1000,1375.42,0,"own-child","Cust3660"
112782,278,2007-05-05,"State1","100/300",500,1474.62,5161592,"wife","Cust3661"
112783,157,2007-03-22,"State1","100/300",657,1368.41,0,"not-in-family","Cust3662"
112784,279,1996-04-13,"State3","250/500",2000,1157.22,5000000,"wife","Cust3663"
112785,251,2004-11-25,"State2","100/300",513,1057.95,0,"wife","Cust3664"
112786,357,2002-09-18,"State3","250/500",2000,1288.31,0,"not-in-family","Cust3665"
112787,136,2013-09-02,"State3","100/300",561,1541.21,2632344,"other-relative","Cust3666"
112788,126,2002-03-16,"State3","500/1000",737,1736.03,0,"not-in-family","Cust3667"
112789,104,2001-08-12,"State3","500/1000",500,1163.24,4981483,"husband","Cust3668"
112790,126,1991-11-04,"State1","250/500",1000,1230.21,0,"not-in-family","Cust3669"
112791,105,1998-09-10,"State1","500/1000",603,1265.14,0,"not-in-family","Cust3670"
112792,163,2010-11-18,"State2","500/1000",500,1379.08,0,"unmarried","Cust3671"
112793,56,2002-04-11,"State1","100/300",949,989.2,514480,"unmarried","Cust3672"
112794,78,2011-10-22,"State3","250/500",2000,1170.22,0,"other-relative","Cust3673"
112795,79,1991-08-17,"State1","250/500",1000,1351.47,0,"own-child","Cust3674"
112797,330,2002-06-11,"State3","500/1000",868,1027.74,0,"own-child","Cust3676"
112800,319,2008-06-29,"State1","100/300",2000,1212.68,0,"wife","Cust3679"
112803,100,1995-04-15,"State1","500/1000",917,1222.15,0,"husband","Cust3682"
112805,18,2002-09-20,"State3","100/300",749,1137.07,0,"not-in-family","Cust3684"
112806,150,2004-05-08,"State1","100/300",962,856.38,0,"other-relative","Cust3685"
112807,259,2006-03-10,"State3","500/1000",922,998.26,0,"wife","Cust3686"
112808,245,2003-06-29,"State1","500/1000",1552,1371.58,6896759,"other-relative","Cust3687"
112809,319,1999-07-22,"State3","500/1000",994,1013.44,64296,"other-relative","Cust3688"
112811,192,1994-04-02,"State1","250/500",1000,1355.76,337010,"own-child","Cust3690"
112812,296,2010-05-05,"State3","250/500",1257,1580.03,0,"other-relative","Cust3691"
112814,185,2006-04-21,"State1","250/500",2000,1218.7,78290,"husband","Cust3693"
112816,34,1998-05-01,"State3","500/1000",951,1637.89,0,"other-relative","Cust3695"
112817,347,2004-05-28,"State2","250/500",628,1405.52,0,"unmarried","Cust3696"
112818,151,1997-06-16,"State1","500/1000",1000,1324.37,0,"husband","Cust3697"
112819,332,2006-05-18,"State2","250/500",1000,1356.91,1774462,"unmarried","Cust3698"
112820,125,2006-07-15,"State3","100/500",1000,987.36,0,"husband","Cust3699"
112821,62,2009-11-03,"State3","100/300",1896,1019.01,278072,"husband","Cust3700"
112822,219,2009-06-19,"State3","100/300",1541,975.82,0,"husband","Cust3701"
112824,399,2006-07-21,"State1","250/500",1000,1404.57,0,"not-in-family","Cust3703"
112826,99,2003-10-21,"State2","250/500",842,1237.79,3418334,"own-child","Cust3705"
112827,281,1998-07-29,"State3","100/300",2000,1376.61,0,"unmarried","Cust3706"
112829,116,2008-03-22,"State1","250/500",585,1196.5,2509329,"other-relative","Cust3708"
112831,201,1995-07-16,"State3","250/500",522,878.41,0,"not-in-family","Cust3710"
112833,353,2008-05-28,"State2","250/500",500,1568.65,0,"own-child","Cust3712"
112834,328,1995-03-24,"State1","100/300",500,1190.89,0,"unmarried","Cust3713"
112835,376,2006-05-19,"State1","100/300",1000,1143.91,3792069,"wife","Cust3714"
112836,158,1991-02-14,"State1","100/300",500,820.42,211973,"wife","Cust3715"
112838,252,2002-07-27,"State1","500/1000",2000,1357.16,5370905,"other-relative","Cust3717"
112839,361,2011-04-25,"State2","100/300",2000,1316.9,0,"wife","Cust3718"
112840,123,2008-12-29,"State1","250/500",595,1239.66,950223,"other-relative","Cust3719"
112841,95,2002-03-05,"State1","500/300",581,1555.81,5865606,"husband","Cust3720"
112842,407,1991-03-18,"State1","100/300",500,1768.5,2997128,"own-child","Cust3721"
112843,263,2011-06-06,"State2","250/500",749,1285.06,1991045,"not-in-family","Cust3722"
112844,96,2002-08-22,"State2","250/500",1000,1190.04,0,"husband","Cust3723"
112846,197,2001-10-24,"State1","100/300",659,1160.19,0,"not-in-family","Cust3725"
112847,206,1996-06-27,"State3","100/300",978,1310.27,0,"not-in-family","Cust3726"
112848,101,1998-10-26,"State3","250/500",855,1325.45,1449106,"other-relative","Cust3727"
112849,94,2006-05-08,"State1","250/500",1843,872.89,0,"other-relative","Cust3728"
112851,154,2000-11-14,"State3","250/500",500,964.68,0,"wife","Cust3730"
112853,75,2000-03-19,"State2","500/1000",1044,1324.67,0,"own-child","Cust3732"
112854,425,2005-12-03,"State2","100/300",993,1177.48,6959901,"other-relative","Cust3733"
112855,185,2014-06-11,"State3","250/500",500,1542.09,0,"not-in-family","Cust3734"
112859,304,1999-06-25,"State3","100/300",1612,1277.2,0,"wife","Cust3738"
112860,184,1998-10-22,"State1","100/300",1000,1528.62,3191876,"wife","Cust3739"
112861,136,2008-09-24,"State3","250/500",2000,1551.09,0,"not-in-family","Cust3740"
112862,212,2000-05-07,"State2","500/1000",500,1683.09,0,"wife","Cust3741"
112863,327,1992-08-02,"State3","250/500",2000,1252.18,0,"wife","Cust3742"
112865,162,2009-08-15,"State1","250/300",542,1356.67,0,"own-child","Cust3744"
112866,220,1999-04-10,"State2","100/300",658,1108.67,2739562,"other-relative","Cust3745"
112868,209,1993-12-13,"State2","250/500",500,926.91,0,"wife","Cust3747"
112870,210,1996-05-16,"State2","250/500",1000,1079.83,0,"other-relative","Cust3749"
112871,164,1993-03-20,"State1","250/500",500,1464.62,0,"not-in-family","Cust3750"
112872,189,2000-11-21,"State2","100/300",500,1275.4,0,"not-in-family","Cust3751"
112873,286,1999-09-09,"State2","100/300",500,1469.01,0,"not-in-family","Cust3752"
112877,16,2002-07-20,"State1","250/300",2000,1540.31,587374,"unmarried","Cust3756"
112878,177,2008-10-23,"State1","500/1000",1000,1264.9,4515964,"other-relative","Cust3757"
112879,295,2001-07-11,"State3","100/300",1000,914,702180,"other-relative","Cust3758"
112880,254,1998-07-08,"State3","100/300",2000,1270.32,0,"wife","Cust3759"
112881,53,1997-11-07,"State1","500/1000",526,1307,0,"not-in-family","Cust3760"
112882,250,2003-05-09,"State2","100/1000",500,975.69,0,"unmarried","Cust3761"
112883,165,1995-06-16,"State2","100/300",848,1126.63,1213032,"other-relative","Cust3762"
112884,226,2006-02-09,"State2","500/1000",1915,1101.19,0,"other-relative","Cust3763"
112885,261,2012-06-29,"State3","100/300",1477,1039.32,0,"not-in-family","Cust3764"
112887,12,2006-06-17,"State1","100/300",1672,832.22,0,"not-in-family","Cust3766"
112888,343,1990-03-19,"State3","500/1000",1897,1279.6,4068847,"husband","Cust3767"
112889,337,2000-03-20,"State1","500/1000",809,1152.77,0,"not-in-family","Cust3768"
112891,283,2005-04-21,"State3","250/500",1785,1616.51,4784996,"wife","Cust3770"
112892,150,2008-03-27,"State1","100/300",1205,1339.32,0,"wife","Cust3771"
112893,304,2010-08-18,"State3","250/500",736,1430.82,0,"not-in-family","Cust3772"
112894,128,1999-11-14,"State3","250/500",1000,1755.01,0,"husband","Cust3773"
112895,205,1999-02-19,"State2","250/500",2000,1384.34,1480728,"other-relative","Cust3774"
112896,294,2008-05-26,"State2","250/500",1438,1212.45,3127209,"other-relative","Cust3775"
112898,214,1993-07-23,"State1","250/500",2000,1297.7,3485575,"unmarried","Cust3777"
112899,242,2007-09-14,"State3","250/500",905,1333.27,0,"unmarried","Cust3778"
112900,202,2009-10-12,"State3","250/500",1478,1611.96,0,"not-in-family","Cust3779"
112902,176,1998-07-23,"State2","250/500",2000,1290.04,0,"not-in-family","Cust3781"
112903,408,1992-09-19,"State2","100/300",1642,1195.76,0,"other-relative","Cust3782"
112905,415,2002-04-19,"State1","100/300",1359,987.17,3206492,"wife","Cust3784"
112907,415,1991-02-09,"State2","100/300",1700,1402.34,800852,"own-child","Cust3786"
112908,417,1990-02-12,"State2","100/300",1228,1611.99,2057997,"own-child","Cust3787"
112910,313,2004-06-30,"State3","100/300",2000,1255.63,0,"unmarried","Cust3789"
112911,220,1999-07-14,"State2","100/300",500,1216.44,1976554,"not-in-family","Cust3790"
112912,234,1997-06-11,"State2","100/300",500,1512.51,1153979,"husband","Cust3791"
112916,140,2009-08-09,"State1","100/300",1000,1339.23,5394735,"not-in-family","Cust3795"
112917,108,2006-04-07,"State1","100/300",1000,1106.57,1490668,"unmarried","Cust3796"
112919,199,1994-08-26,"State1","250/500",770,1272.44,0,"other-relative","Cust3798"
112920,199,1994-08-26,"State1","250/500",785,1273.02,0,"wife","Cust3799"
112922,60,2008-06-17,"State2","250/500",1332,1653.79,0,"unmarried","Cust3801"
112924,220,1991-03-18,"State3","500/1000",1370,1283.01,2320487,"husband","Cust3803"
112925,153,1990-02-14,"State1","250/500",518,795.12,0,"other-relative","Cust3804"
112926,115,1992-02-12,"State2","100/300",500,848.15,0,"other-relative","Cust3805"
112927,116,2012-09-20,"State3","500/1000",500,1079.04,0,"husband","Cust3806"
112928,84,2014-09-17,"State3","500/1000",500,822.64,0,"own-child","Cust3807"
112929,269,2002-04-18,"State3","250/500",1550,1588.98,4550241,"not-in-family","Cust3808"
112931,201,1994-09-12,"State2","100/300",500,1241.13,0,"other-relative","Cust3810"
112932,175,2002-07-09,"State2","100/300",886,959.58,0,"husband","Cust3811"
112933,137,2003-10-15,"State2","250/500",500,1043.47,2381763,"wife","Cust3812"
112934,124,2010-08-18,"State2","250/500",550,1250.56,6305807,"not-in-family","Cust3813"
112935,224,2006-09-11,"State3","100/300",699,1079.98,0,"husband","Cust3814"
112936,234,2012-07-17,"State2","100/300",500,1069.26,978177,"own-child","Cust3815"
112937,423,1998-02-18,"State3","100/300",1066,1255.61,0,"not-in-family","Cust3816"
112938,251,2001-10-14,"State3","100/300",982,1296.95,0,"not-in-family","Cust3817"
112939,161,2009-11-18,"State2","500/1000",500,1393.85,0,"wife","Cust3818"
112941,285,1997-05-15,"State2","500/1000",2000,777.39,59077,"not-in-family","Cust3820"
112943,57,1995-02-09,"State2","100/300",589,976.77,0,"other-relative","Cust3822"
112944,118,2002-02-20,"State1","100/300",772,1320.79,0,"not-in-family","Cust3823"
112946,100,1992-07-12,"State1","250/500",1719,1177.44,2875260,"other-relative","Cust3825"
112947,240,2000-02-07,"State2","500/1000",792,1522.17,0,"not-in-family","Cust3826"
112948,347,2006-06-10,"State2","500/1000",1000,1615.45,0,"not-in-family","Cust3827"
112949,56,2011-10-01,"State1","250/500",1833,1350.73,0,"own-child","Cust3828"
112950,11,2013-12-04,"State3","250/500",2000,1280,0,"own-child","Cust3829"
112951,417,1991-09-11,"State3","500/1000",1000,1160.54,0,"not-in-family","Cust3830"
112952,225,1995-06-25,"State3","500/1000",1000,1303.86,0,"husband","Cust3831"
112954,332,2001-04-18,"State1","500/1000",1254,1125.52,0,"not-in-family","Cust3833"
112955,119,2003-06-21,"State2","500/1000",1000,1200.39,0,"husband","Cust3834"
112957,202,1997-08-21,"State2","100/300",1767,1159.65,930725,"unmarried","Cust3836"
112958,448,2003-03-18,"State2","100/300",500,1292.77,5848628,"unmarried","Cust3837"
112959,234,1999-03-11,"State1","100/300",1000,1096.2,9001398,"not-in-family","Cust3838"
112960,394,1995-07-15,"State2","100/300",1635,1123.72,3652520,"other-relative","Cust3839"
112961,59,2012-12-24,"State3","500/1000",569,-1,0,"unmarried","Cust3840"
112962,259,1995-06-11,"State2","500/1000",2000,909.06,0,"not-in-family","Cust3841"
112964,123,1991-02-11,"State1","500/1000",500,1291.67,73530,"other-relative","Cust3843"
112966,208,1997-04-17,"State2","250/500",829,1171.02,0,"own-child","Cust3845"
112968,364,1994-06-05,"State3","100/300",2000,1318.26,0,"wife","Cust3847"
112969,128,2010-09-16,"State1","100/500",684,1283.91,2202981,"own-child","Cust3848"
112973,46,1999-07-14,"State2","250/500",1644,1222.72,3861653,"other-relative","Cust3852"
112977,104,1997-06-21,"State1","500/1000",500,1335.79,1555695,"husband","Cust3856"
112978,256,2005-09-25,"State1","500/1000",661,1257.48,2714036,"not-in-family","Cust3857"
112979,104,1997-10-23,"State1","100/300",1000,1436.5,0,"wife","Cust3858"
112980,143,2000-11-27,"State1","100/300",1000,1530.2,0,"wife","Cust3859"
112981,114,1997-09-14,"State3","250/500",809,934.39,0,"own-child","Cust3860"
112984,139,1994-04-11,"State2","250/500",500,1112.19,0,"unmarried","Cust3863"
112985,96,2012-06-21,"State3","100/300",1085,1048.38,6404914,"husband","Cust3864"
112986,69,2011-09-11,"State3","100/300",1585,1020.94,2903134,"husband","Cust3865"
112988,318,2000-03-22,"State3","500/300",1597,1278.89,0,"other-relative","Cust3867"
112989,106,2002-09-13,"State3","500/1000",1061,1169.65,0,"wife","Cust3868"
112990,115,1998-07-12,"State3","500/1000",834,1206.04,0,"not-in-family","Cust3869"
112992,102,1999-08-14,"State3","250/500",2000,1424.45,0,"unmarried","Cust3871"
112993,144,2006-11-24,"State3","250/500",2000,1169.03,0,"husband","Cust3872"
112994,114,2011-11-22,"State2","250/500",1845,1097.55,0,"husband","Cust3873"
112995,205,2001-11-18,"State3","100/300",500,1327.37,5043918,"own-child","Cust3874"
112996,92,2004-10-09,"State3","100/300",500,1435.99,5622311,"other-relative","Cust3875"
112997,277,1995-04-24,"State3","500/1000",1980,1278.27,92229,"other-relative","Cust3876"
112998,91,2000-04-05,"State1","500/1000",500,1580.73,7000000,"husband","Cust3877"
112999,160,2006-03-22,"State2","100/300",745,1022.77,2547723,"own-child","Cust3878"
113000,166,2005-03-22,"State2","100/300",763,1029.99,2374868,"own-child","Cust3879"
113001,110,1997-08-14,"State1","250/500",1341,1150.24,0,"own-child","Cust3880"
113004,138,2008-03-20,"State3","100/300",2000,1160.6,0,"other-relative","Cust3883"
113006,16,1999-04-11,"State3","500/1000",1702,1233.21,0,"husband","Cust3885"
113007,93,1994-02-16,"State2","100/300",1516,1296.86,2578139,"wife","Cust3886"
113009,248,1995-07-24,"State3","500/1000",950,1280.82,0,"other-relative","Cust3888"
113010,262,2006-07-20,"State3","250/500",679,1343.93,0,"other-relative","Cust3889"
113011,131,2000-04-07,"State1","500/1000",500,1620.89,5649769,"husband","Cust3890"
113012,334,1999-04-20,"State1","500/1000",712,1203.67,0,"not-in-family","Cust3891"
113013,371,2003-08-15,"State3","250/500",2000,1357.54,0,"not-in-family","Cust3892"
113015,315,2002-01-19,"State1","500/1000",946,1122.46,758254,"not-in-family","Cust3894"
113017,217,1995-07-26,"State2","100/300",1224,1299.86,0,"other-relative","Cust3896"
113018,92,1995-08-27,"State3","100/300",1734,1347.13,0,"other-relative","Cust3897"
113019,263,1994-06-21,"State1","250/500",1041,821.98,0,"unmarried","Cust3898"
113020,262,1993-03-19,"State1","500/1000",2000,1145.05,2493335,"own-child","Cust3899"
113021,176,2012-02-06,"State1","100/300",2000,1476.94,0,"other-relative","Cust3900"
113022,160,2007-07-19,"State1","100/300",2000,1466.73,0,"other-relative","Cust3901"
113023,368,2005-09-14,"State2","500/1000",1000,1543.61,0,"other-relative","Cust3902"
113024,224,1996-02-14,"State2","250/1000",521,1522.01,0,"other-relative","Cust3903"
113025,79,2002-10-14,"State3","250/300",500,1302.76,963289,"own-child","Cust3904"
113027,123,2004-06-23,"State3","250/500",1008,1325.25,0,"unmarried","Cust3906"
113030,198,2004-08-20,"State3","250/500",500,1456.07,2466418,"other-relative","Cust3909"
113031,309,2004-07-16,"State3","250/500",500,1383.61,0,"not-in-family","Cust3910"
113032,414,1991-08-02,"State3","250/500",1419,1206.65,0,"wife","Cust3911"
113033,156,2003-08-07,"State3","250/1000",1000,1503.73,0,"unmarried","Cust3912"
113034,59,1997-04-02,"State3","250/500",864,1509.05,0,"other-relative","Cust3913"
113035,260,1998-05-17,"State3","500/1000",1379,1487.93,0,"other-relative","Cust3914"
113036,263,1997-05-18,"State2","500/1000",1469,1458.11,0,"other-relative","Cust3915"
113037,136,2008-09-25,"State3","250/500",2000,1515.68,0,"unmarried","Cust3916"
113038,138,2007-09-28,"State3","250/500",1970,1440.53,0,"unmarried","Cust3917"
113041,253,2005-09-12,"State3","250/500",939,1367.26,973180,"husband","Cust3920"
113042,234,2001-05-16,"State3","250/500",543,1472.38,7305344,"husband","Cust3921"
113043,223,2011-01-10,"State1","250/500",1000,1252.44,0,"wife","Cust3922"
113044,326,1996-02-07,"State2","250/500",1000,1604.2,0,"not-in-family","Cust3923"
113045,325,1991-11-02,"State2","100/300",1938,1071.13,0,"other-relative","Cust3924"
113046,255,1991-07-07,"State1","100/300",1354,959.08,0,"other-relative","Cust3925"
113048,239,2010-10-24,"State3","100/300",500,1114.53,0,"unmarried","Cust3927"
113049,64,2002-03-10,"State1","100/300",1047,974.62,0,"unmarried","Cust3928"
113051,185,2010-02-27,"State2","100/300",1000,1341.33,0,"wife","Cust3930"
113052,186,2010-02-27,"State2","100/300",1000,1346.5,0,"wife","Cust3931"
113053,232,1993-08-27,"State1","250/500",1137,1298.54,687364,"other-relative","Cust3932"
113054,408,1994-06-09,"State3","250/500",2000,1331.23,1276256,"wife","Cust3933"
113055,142,2005-06-11,"State3","250/500",1000,897.32,0,"husband","Cust3934"
113057,197,2004-09-24,"State1","250/1000",650,1395.35,3600050,"not-in-family","Cust3936"
113059,114,2008-01-01,"State2","250/500",1959,1091.7,0,"unmarried","Cust3938"
113061,239,1997-04-21,"State3","100/300",974,1117.97,0,"wife","Cust3940"
113063,127,2009-01-22,"State1","250/500",500,1266.75,1648773,"not-in-family","Cust3942"
113064,145,2001-09-15,"State2","250/500",500,993.43,342873,"wife","Cust3943"
113065,255,2006-10-12,"State3","250/500",994,1351.28,0,"unmarried","Cust3944"
113066,144,2010-09-19,"State2","250/500",500,1344.47,0,"unmarried","Cust3945"
113067,270,1997-07-23,"State3","100/300",1126,1283.36,0,"other-relative","Cust3946"
113068,68,2013-10-06,"State3","100/300",2000,1278.14,0,"other-relative","Cust3947"
113069,22,1999-07-23,"State2","100/300",2000,1197.07,0,"other-relative","Cust3948"
113070,26,1996-08-27,"State2","100/300",2000,1325.41,0,"other-relative","Cust3949"
113071,209,1998-10-23,"State2","500/1000",1000,1488.36,0,"other-relative","Cust3950"
113072,343,2004-10-16,"State2","500/1000",1000,1524.87,0,"other-relative","Cust3951"
113073,95,1993-10-05,"State1","250/500",1111,1200.12,0,"other-relative","Cust3952"
113075,241,2009-07-19,"State2","250/500",575,1376.09,0,"husband","Cust3954"
113076,247,2010-07-18,"State2","500/500",547,1377.53,0,"husband","Cust3955"
113077,217,2001-06-13,"State2","250/500",1825,1632.67,698491,"own-child","Cust3956"
113078,115,1998-02-17,"State2","250/500",734,1288.91,5063528,"own-child","Cust3957"
113079,168,1996-06-25,"State3","500/1000",1307,1305.26,0,"husband","Cust3958"
113081,164,2000-10-22,"State1","100/300",500,1154.5,0,"wife","Cust3960"
113085,218,2014-06-03,"State1","100/300",976,1390.67,5048815,"unmarried","Cust3964"
113087,233,1998-10-29,"State1","100/500",1124,968.2,6875752,"unmarried","Cust3966"
113089,218,2001-06-08,"State3","500/1000",1670,1089.18,0,"other-relative","Cust3968"
113091,50,1995-07-12,"State1","250/500",1823,1304.46,4935309,"other-relative","Cust3970"
113092,181,2000-11-26,"State1","100/300",1000,1565.64,1733966,"unmarried","Cust3971"
113093,415,2001-04-20,"State2","250/500",2000,1576.64,1366365,"own-child","Cust3972"
113094,385,2001-06-24,"State2","250/500",2000,1446.2,1049939,"unmarried","Cust3973"
113096,55,1995-02-10,"State2","100/300",650,1013.68,0,"other-relative","Cust3975"
113099,255,2007-06-16,"State3","500/1000",1000,1052.95,1132621,"own-child","Cust3978"
113101,167,2007-02-22,"State2","100/300",1000,1116.39,0,"wife","Cust3980"
113102,171,2008-02-23,"State2","100/300",1000,1167.15,0,"wife","Cust3981"
113103,35,2013-09-07,"State2","500/500",913,1231.7,0,"wife","Cust3982"
113104,140,2009-11-16,"State2","250/1000",542,1426.33,0,"wife","Cust3983"
113108,139,2007-10-22,"State3","100/300",2000,723.43,0,"other-relative","Cust3987"
113109,110,2008-01-01,"State3","250/500",2000,1101.68,0,"own-child","Cust3988"
113110,114,2008-02-03,"State3","250/500",2000,1115.79,0,"unmarried","Cust3989"
113111,139,2006-09-27,"State1","250/500",1255,1197.84,0,"unmarried","Cust3990"
113112,281,2004-05-30,"State2","250/500",1927,1209.1,0,"not-in-family","Cust3991"
113113,148,1993-08-04,"State2","500/1000",500,1201.21,6143019,"own-child","Cust3992"
113114,140,1995-08-05,"State2","500/1000",500,1158.27,5493261,"husband","Cust3993"
113117,432,1999-01-18,"State3","500/1000",889,1284.22,0,"unmarried","Cust3996"
113121,109,1998-09-23,"State1","250/1000",887,1052.95,3872228,"other-relative","Cust4000"
113122,71,2000-07-24,"State3","250/1000",745,1137.16,2454316,"other-relative","Cust4001"
113126,257,1999-07-09,"State3","100/300",1000,1082.23,2418027,"own-child","Cust4005"
113127,58,1993-03-17,"State3","500/1000",664,1243.4,654624,"husband","Cust4006"
113129,175,2007-06-19,"State3","250/500",500,1160.77,0,"husband","Cust4008"
113130,195,1995-12-13,"State3","250/500",500,930.68,0,"wife","Cust4009"
113131,319,2000-02-17,"State2","500/1000",500,1294.17,0,"not-in-family","Cust4010"
113132,189,2002-03-07,"State1","500/1000",500,1580.24,4779820,"husband","Cust4011"
113133,319,2007-12-03,"State1","100/300",1357,1413.21,4502006,"own-child","Cust4012"
113134,141,2003-10-13,"State1","100/300",2000,1453.36,0,"own-child","Cust4013"
113135,260,2003-06-16,"State3","250/500",500,1222.6,0,"other-relative","Cust4014"
113136,268,2008-04-17,"State3","250/500",594,1342.67,0,"other-relative","Cust4015"
113137,301,2000-06-26,"State1","100/300",2000,1254.03,0,"own-child","Cust4016"
